species,individual_id,group_id,age,sex,habitat,individual_body_mass_g,max_adult_body_mass_g,resting_metabolic_rate,taxonomic.class,tissue,grouped_tissue,diet.type,food_type,No_animals,length_trial_days,lipid_extracted,source.iso.13C,source.iso.13C_error,source.iso.15N,source.iso.15N_error,delta13C,delta_13C_error,delta15N,delta_15N_error,error_type,citation,Notes,Data_type,Co_author,Co_author_email,email_worked,reply_received,data_received,data_input,follow_up_needed,priority,further_notes,,,,,,,
Canis_lupus,,,,,terrestrial,,29190.755,,mammalia,hair,keratin,carnivore,,3,120,yes,-25.67,0.94,5.61,0.53,4.28,0.43,3.08,0.22,sd,McLaren et al,controlled experiment,aggregated into mean,Dr. Ashley McLaren,shley.mclaren@ontario.ca,no,no,no,no,yes,low,,,,,,,,
Canis_lupus,,,,,terrestrial,,29190.755,,mammalia,whisker,keratin,carnivore,,3,120,yes,-25.67,0.94,5.61,0.53,4.48,0.6,3.08,0.33,sd,McLaren et al,controlled experiment,aggregated into mean,Dr. Ashley McLaren,shley.mclaren@ontario.ca,no,no,no,no,yes,low,,,,,,,,
Canis_lupus,,,,,terrestrial,,29190.755,,mammalia,blood,blood,carnivore,,3,120,yes,-25.67,0.94,5.61,0.53,2.13,0.2,0.17,0.17,sd,McLaren et al,controlled experiment,aggregated into mean,Dr. Ashley McLaren,shley.mclaren@ontario.ca,no,no,no,no,yes,low,,,,,,,,
Canis_lupus,,,,,terrestrial,,29190.755,,mammalia,serum,blood,carnivore,,3,120,yes,-25.67,0.94,5.61,0.53,2.11,0.27,0.27,0.27,sd,McLaren et al,controlled experiment,aggregated into mean,Dr. Ashley McLaren,shley.mclaren@ontario.ca,no,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,liver,fastorgans,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.3,0.3,3.2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,serum,blood,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.6,0.1,3.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,kidney,sloworgans,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.3,0.1,2.8,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,RBC,blood,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.3,0.1,2.2,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,muscle,muscle,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.7,0.1,2.5,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,hair,keratin,herbivore,,24,277,yes,-25.3,0,4.8,0.1,3.5,0.2,2.5,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,liver,fastorgans,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.1,0.8,3,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,serum,blood,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.4,0,3.5,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,kidney,sloworgans,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.4,0.1,2.2,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,RBC,blood,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.2,0.1,1.7,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,muscle,muscle,herbivore,,24,277,yes,-25.3,0,4.8,0.1,1.7,0.2,2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,hair,keratin,herbivore,,24,277,yes,-25.3,0,4.8,0.1,3.2,0.1,2.3,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,liver,fastorgans,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.9,0.1,3.2,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,serum,blood,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.6,0.2,3.9,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,kidney,sloworgans,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.8,0.2,3.4,0.3,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,RBC,blood,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.7,0.1,3.2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,muscle,muscle,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,1.2,0.1,3.4,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,hair,keratin,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,2.2,0.1,4.1,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,liver,fastorgans,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.4,0.4,2.8,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,serum,blood,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.8,0.2,3.4,0.3,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,kidney,sloworgans,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.8,0.1,2.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,RBC,blood,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,0.6,0.1,2.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,muscle,muscle,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,1.2,0.1,2.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,hair,keratin,carnivore,,24,277,yes,-16.2,0.2,12.3,0.1,2,0.2,3.7,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,liver,fastorgans,omnivore,,24,277,yes,-24.5,0,7.1,0,1.8,0.5,3.4,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,serum,blood,omnivore,,24,277,yes,-24.5,0,7.1,0,2.6,0.1,3.9,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,kidney,sloworgans,omnivore,,24,277,yes,-24.5,0,7.1,0,2.6,0.2,3,0.3,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,RBC,blood,omnivore,,24,277,yes,-24.5,0,7.1,0,2.7,0.1,2.6,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,muscle,muscle,omnivore,,24,277,yes,-24.5,0,7.1,0,3,0.1,3,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,hair,keratin,omnivore,,24,277,yes,-24.5,0,7.1,0,4.3,0.1,2.9,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,kidney,sloworgans,omnivore,,24,277,yes,-24.5,0,7.1,0,1.1,1.1,3,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,serum,blood,omnivore,,24,277,yes,-24.5,0,7.1,0,2.6,0.2,3.6,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,kidney,sloworgans,omnivore,,24,277,yes,-24.5,0,7.1,0,2.2,0.3,2.3,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,RBC,blood,omnivore,,24,277,yes,-24.5,0,7.1,0,2.3,0.3,2.2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,muscle,muscle,omnivore,,24,277,yes,-24.5,0,7.1,0,2.5,0.4,2.3,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,hair,keratin,omnivore,,24,277,yes,-24.5,0,7.1,0,3.8,0.2,2.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,liver,fastorgans,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,2.1,0,3.2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,serum,blood,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.1,0,3.9,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,kidney,sloworgans,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.4,0.1,2.5,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,RBC,blood,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,0.6,0.1,2.4,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,muscle,muscle,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.4,0,2.5,0.4,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,female,terrestrial,,280,,mammalia,hair,keratin,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,2.3,0.1,3,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,liver,fastorgans,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,2.2,0.1,2.7,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,serum,blood,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.2,0.1,3.2,0,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,kidney,sloworgans,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.2,0.1,1.9,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,RBC,blood,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,0.5,0.1,2,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,muscle,muscle,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,1.5,0.1,2.1,0.2,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Rattus_norvegicus,,,,male,terrestrial,,280,,mammalia,hair,keratin,omnivore,,24,277,yes,-16.7,0.2,7.4,0.1,2.2,0.1,2.8,0.1,sd,Kurle et al,controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,kurle@lifesci.ucsb,yes,no,no,no,yes,low,,,,,,,,
Gymnogyps_californianus,,1,chick,,terrestrial,,8800,-0.074,aves,feather,keratin,carnivore,rat,3,119,no,-18.2,0.4,8.4,0.2,0.4,0.4,3.1,0.2,sd,"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500",controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,ckurle@ucsd.edu,yes,no,no,no,yes,low,,,,,,,,
Gymnogyps_californianus,,1,chick,,terrestrial,,8800,-0.074,aves,blood,blood,carnivore,rat,3,119,no,-19.4,0,7,0.1,-0.7,0.1,1.7,0.1,sd,"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500",controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,ckurle@ucsd.edu,yes,no,no,no,yes,low,,,,,,,,
Gymnogyps_californianus,,2,juvenile,,terrestrial,,8800,-0.074,aves,plasma,blood,carnivore,dairy calf,4,64,no,-21,0.2,10.8,0.7,0.9,0.2,3.3,0.7,sd,"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500",controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,ckurle@ucsd.edu,yes,no,no,no,yes,low,,,,,,,,
Gymnogyps_californianus,,2,juvenile,,terrestrial,,8800,-0.074,aves,RBC,blood,carnivore,dairy calf,4,64,no,-21.6,0.3,9.4,0.1,0.3,0.3,1.8,0.1,sd,"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500",controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,ckurle@ucsd.edu,yes,no,no,no,yes,low,,,,,,,,
Gymnogyps_californianus,,2,juvenile,,terrestrial,,8800,-0.074,aves,blood,blood,carnivore,dairy calf,4,64,no,-21.6,0.3,9.5,0.2,0.3,0.3,1.9,0.2,sd,"Kurle, C. M., Finkelstein, M. E., Smith, K. R., George, D., Ciani, D., Koch, P. L., and Smith. D. R. (2013). Discrimination Factors for Stable Isotopes of Carbon and Nitrogen in Blood and Feathers from Chicks and Juveniles of the California Condor. The Condor 115 (3), 492-500",controlled experiment,aggregated into mean,Prof. Carolyn M. Kurle,ckurle@ucsd.edu,yes,no,no,no,yes,low,,,,,,,,
Enhydra_lutris_nereis,1,1,adult,female,marine_aquatic,,943.25,67.278,mammalia,vibrissae,keratin,carnivore,fish,1,30,yes,-17.3,,10.8,,2.2,,5,,,"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1",,Maggie,Dr. Luke P. Tyrrell,ltyrr002@plattsburgh.edu,yes,yes,yes,yes,no,low,,,,,,,,
Enhydra_lutris_nereis,1,1,adult,female,marine_aquatic,,943.25,67.278,mammalia,vibrissae,keratin,carnivore,fish,1,30,no,-17.7,,10.1,,2.6,,5.7,,,"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1",,Maggie,Dr. Luke P. Tyrrell,ltyrr002@plattsburgh.edu,yes,yes,yes,yes,no,low,,,,,,,,
Enhydra_lutris_nereis,2,2,adult,female,marine_aquatic,,943.25,67.278,mammalia,vibrissae,keratin,carnivore,fish,1,30,yes,-17.5,,10.4,,2.6,,4.7,,,"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1",,Mae,Dr. Luke P. Tyrrell,ltyrr002@plattsburgh.edu,yes,yes,yes,yes,no,low,,,,,,,,
Enhydra_lutris_nereis,2,2,adult,female,marine_aquatic,,943.25,67.278,mammalia,vibrissae,keratin,carnivore,fish,1,30,no,-18,,9.9,,3,,5.3,,,"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1",,Mae,Dr. Luke P. Tyrrell,ltyrr002@plattsburgh.edu,yes,yes,yes,yes,no,low,,,,,,,,
Enhydra_lutris_nereis,3,3,adult,female,marine_aquatic,,943.25,67.278,mammalia,vibrissae,keratin,carnivore,fish,1,30,yes,-17.5,,10.5,,2.5,,5.1,,,"Tyrrell, L, P., Newsome, S. D., Fogel, M, L., Viens, M., Bowden, R., Murray M, J (2013) Vibrissae growth rates and trophic discrimination factors in captive southern sea otters (Enhydra lutris nereis). J Mammal. 94 (2), 331-338. doi: 10.1644/12-MAMM-A-035.1",,Rosa,Dr. Luke P. Tyrrell,ltyrr002@plattsburgh.edu,yes,yes,yes,yes,no,low,,,,,,,,
